date,code,close,open,high,low,volume
2019/5/30,sz50,2742.96,2748.43,2752.69,2721.88,2440000000
2019/5/31,sz50,2728.95,2740.3,2762.39,2728.95,2220000000
2019/6/3,sz50,2743.06,2737.81,2762.08,2723.93,2710000000
2019/6/4,sz50,2721.31,2744.7,2746.51,2713.8,2230000000
2019/6/5,sz50,2719.59,2741.94,2747.23,2717.93,2580000000
2019/6/6,sz50,2706.76,2727.7,2727.7,2701.92,2140000000
2019/6/10,sz50,2743.37,2717.91,2752.88,2712.16,2710000000
2019/6/11,sz50,2812.9,2750.54,2816.99,2750.54,4090000000
2019/6/12,sz50,2796.73,2802.53,2805.01,2790.18,2640000000
2019/6/13,sz50,2794.54,2798.02,2804.76,2771.86,2350000000
2019/6/14,sz50,2785.61,2798.4,2816.18,2781.72,2610000000
2019/6/17,sz50,2793.7,2785.47,2813.45,2785.47,2050000000
2019/6/18,sz50,2806.45,2800.83,2809.87,2785.38,2170000000
2019/6/19,sz50,2842.74,2872.07,2879.23,2842.42,4120000000
2019/6/20,sz50,2942.63,2847.32,2954.03,2846.44,5740000000
2019/6/21,sz50,2938.77,2939.65,2958.23,2929.9,4660000000
2019/6/24,sz50,2949.52,2942.51,2958.02,2931.67,2900000000
2019/6/25,sz50,2910.12,2946.02,2946.71,2875.37,3820000000
2019/6/26,sz50,2903.49,2896.76,2915.24,2891,2400000000
2019/6/27,sz50,2937.13,2917.2,2952.91,2914.96,3350000000
2019/6/28,sz50,2930.6,2932.69,2937.29,2911.67,2370000000
2019/7/1,sz50,3002.94,2984.65,3011.91,2978.75,4260000000
2019/7/2,sz50,2999.08,3000.78,3003.88,2988.47,3460000000
2019/7/3,sz50,2964.73,2990.05,2990.05,2953.7,3390000000
2019/7/4,sz50,2953.27,2966.33,2974.8,2939.97,3290000000
2019/7/5,sz50,2961.92,2952.71,2967.98,2937.6,2380000000
2019/7/8,sz50,2897.51,2944.97,2944.97,2877.74,3370000000
2019/7/9,sz50,2881.55,2894.33,2902.14,2872.03,2140000000
2019/7/10,sz50,2878.78,2896.7,2897.58,2870.67,1890000000
2019/7/11,sz50,2887.83,2897.47,2918.94,2879.64,2120000000
2019/7/12,sz50,2902.13,2883.09,2912.9,2878.2,2150000000
2019/7/15,sz50,2902.61,2885.98,2920.16,2850.1,2820000000
2019/7/16,sz50,2884.56,2900.05,2905.11,2881.4,1740000000
2019/7/17,sz50,2875.03,2877.49,2892.34,2866.47,1810000000
2019/7/18,sz50,2859.16,2869.73,2872.24,2859.07,1950000000
2019/7/19,sz50,2895.62,2875.96,2906.55,2875.9,2250000000
2019/7/22,sz50,2881.9,2897.79,2905.35,2872.53,2360000000
2019/7/23,sz50,2881.1,2885.7,2889.39,2871.51,2040000000
2019/7/24,sz50,2906.55,2894.94,2923.4,2894.59,2600000000
